"Structure Category","Structure Name","Acronym","HEX"
"mammillary region","cingulate gyrus, frontal part, inferior bank of gyrus","CgGf-i","#FE61DE"
"mammillary region","central nucleus","CeA","#FE61DE"
"mammillary region","corpus callosum","cc","#FE61DE"
"mammillary region","CA4 field","CA4","#FE61DE"
"mammillary region","CA3 field","CA3","#FE61DE"
"mammillary region","CA2 field","CA2","#FE61DE"
"anterior hypothalamic region","CA1 field","CA1","#895AFE"
"anterior hypothalamic region","basomedial nucleus","BMA","#895AFE"
"anterior hypothalamic region","basolateral nucleus","BLA","#895AFE"
"hypothamalus_tuberal","body of the caudate nucleus","BCd","#00ACEA"
"hypothamalus_tuberal","amygdalohippocampal transition zone","ATZ","#00ACEA"
"hypothamalus_tuberal","arcuate nucleus of medulla","Arc","#00ACEA"
"hypothamalus_tuberal","angular gyrus, superior bank of gyrus","AnG-s","#00ACEA"
"hypothamalus_tuberal","angular gyrus, inferior bank of gyrus","AnG-i","#00ACEA"
"preoptic region","nucleus accumbens","Acb","#003BEB"
"subthalamus","vestibular nuclei","8Ve","#00E879"
"thalamus","ventromedial hypothalamic nucleus","VMH","#00D132"
"thalamus","temporal pole, superior aspect","TP-s","#00D132"
"thalamus","temporal pole, medial aspect","TP-m","#00D132"
"thalamus","subcuneiform nucleus","SubCn","#00D132"
"thalamus","nucleus subceruleus","SubC","#00D132"
"thalamus","superior rostral gyrus","SRoG","#00D132"
"thalamus","septal nuclei","SptN","#00D132"
"thalamus","superior occipital gyrus, inferior bank of gyrus","SOG-i","#00D132"
"thalamus","superior olivary complex","SOC","#00D132"
"thalamus","supraoptic nucleus","SO","#00D132"
"thalamus","subcallosal cingulate gyrus","SCG","#00D132"
"cerebellum","pontine raphe nucleus","RPn","#A9EBED"
"cerebellum","paraventricular nucleus of the hypothalamus","PVH","#A9EBED"
"cerebellum","VIIIB, paravermis","PV-VIIIB","#A9EBED"
"cerebellum","VIIIA, paravermis","PV-VIIIA","#A9EBED"
"cerebellum","IX, paravermis","PV-IX","#A9EBED"
"cerebellum","precentral gyrus, bank of the central sulcus","PrG-cs","#A9EBED"
"cerebellum","posterior orbital gyrus","POrG","#A9EBED"
"cerebellum","postcentral gyrus, bank of the posterior central sulcus","PoG-pcs","#A9EBED"
"cerebellum","postcentral gyrus, inferior lateral aspect of gyrus","PoG-il","#A9EBED"
"cerebellum","paracentral lobule, anterior part, superior bank of gyrus","PCLa-s","#A9EBED"
"cerebellum","parolfactory gyri","PaOG","#A9EBED"
"cerebellum","medial parabrachial nucleus","MPB","#A9EBED"
"cerebellum","motor nucleus of trigeminal nerve","Mo5","#A9EBED"
"cerebellum","midbrain raphe nuclei","MBRa","#A9EBED"
"cerebellum","lateral parabrachial nucleus","LPB","#A9EBED"
"cerebellum","inferior rostral gyrus","IRoG","#A9EBED"
"cerebellum","inferior occipital gyrus, superior bank of gyrus","IOG-s","#A9EBED"
"cerebellum","inferior occipital gyrus, inferior bank of gyrus","IOG-i","#A9EBED"
"cerebellum","globus pallidus, external segment","GPe","#A9EBED"
"cerebellum","fusiform gyrus, lateral bank of gyrus","FuG-l","#A9EBED"
"cerebellum","central gray substance of midbrain","CGMB","#A9EBED"
"cerebellum","cochlear nuclei","8Co","#A9EBED"
"cerebellum","facial motor nucleus","7","#A9EBED"
"cerebellum","abducens nucleus","6","#A9EBED"
"cerebellum","VIIIB","Ve-VIIIB","#A9EBED"
"cerebellum","VIIIA","Ve-VIIIA","#A9EBED"
"cerebellum","VIIB","Ve-VIIB","#A9EBED"
"cerebellum","VIIAt","Ve-VIIAt","#A9EBED"
"cerebellum","VI","Ve-VI","#A9EBED"
"pons","V","Ve-V","#8ED6C4"
"pons","IX","Ve-IX","#8ED6C4"
"pons","IV","Ve-IV","#8ED6C4"
"pons","III","Ve-III","#8ED6C4"
"pons","temporal pole, inferior aspect","TP-i","#8ED6C4"
"pons","tuberomammillary nucleus","TM","#8ED6C4"
"pons","supramammillary nucleus","SuM","#8ED6C4"
"pons","superior colliculus","SC","#8ED6C4"
"pons","III, paravermis","PV-III","#8ED6C4"
"pons","principal sensory nucleus of trigeminal nerve","Pr5","#8ED6C4"
"pons","planum temporale","PLT","#8ED6C4"
"pons","perifornical nucleus","PeF","#8ED6C4"
"midbrain tectum","inferior frontal gyrus, opercular part","opIFG","#64A494"
"midbrain tectum","olfactory tubercle","OlfT","#64A494"
"midbrain tegmentum","basal nucleus of meynert","nbM","#6C93A3"
"midbrain tegmentum","medial mammillary nucleus","MM","#6C93A3"
"midbrain tegmentum","lateral tuberal nucleus","LTu","#6C93A3"
"midbrain tegmentum","lateral mammillary nucleus","LM","#6C93A3"
"midbrain tegmentum","lateral hypothalamic area, tuberal region","LHT","#6C93A3"
"midbrain tegmentum","lateral hypothalamic area, anterior region","LHA","#6C93A3"
"midbrain tegmentum","locus ceruleus","LC","#6C93A3"
"midbrain tegmentum","inferior colliculus","IC","#6C93A3"
"midbrain tegmentum","VIIIB, lateral hemisphere","He-VIIIB","#6C93A3"
"claustrum","V, lateral hemisphere","He-V","#6570A4"
"myelencephalon","IV, lateral hemisphere","He-IV","#9F54A6"
"myelencephalon","globose nucleus","Glo","#9F54A6"
"myelencephalon","dorsomedial hypothalamic nucleus","DMH","#9F54A6"
"myelencephalon","nucleus of the diagonal band, horizontal division","DBv","#9F54A6"
"myelencephalon","nucleus of the diagonal band, vertical division","DBh","#9F54A6"
"myelencephalon","cuneiform nucleus","CnF","#9F54A6"
"myelencephalon","central medullary reticular group","CMRt","#9F54A6"
"myelencephalon","central glial substance","CGS","#9F54A6"
"myelencephalon","cingulate gyrus, retrosplenial part, superior bank of gyrus","CgGr-s","#9F54A6"
"myelencephalon","bed  nucleus of stria terminalis","BST","#9F54A6"
"myelencephalon","anterior orbital gyrus","AOrG","#9F54A6"
"myelencephalon","oculomotor nuclear complex","3","#9F54A6"
"myelencephalon","hypoglossal nucleus","12","#9F54A6"
"white matter","dorsal motor nucleus of the vagus","10","#827E79"
